1.163522731236049140e+03,1.174699035644531250e+03,4.791973486457286668e+01
5.566154915945870698e+02,6.703916015625000000e+02,4.784323439401258327e+01
4.062900172642299026e+02,4.595548400878906250e+02,4.771190728795862412e+01
3.427579738071986526e+02,3.716760253906250000e+02,4.753855298142938324e+01
3.078082144601004302e+02,3.286873321533203125e+02,4.733497045337225728e+01
2.849172450474330276e+02,3.011466674804687500e+02,4.710266063477020282e+01
2.684125758579799026e+02,2.794263916015625000e+02,4.683442027682084330e+01
2.554400678362165138e+02,2.621700744628906250e+02,4.653383626180274746e+01
2.448252236502511039e+02,2.489237976074218750e+02,4.621012927158228223e+01
2.360324336460658401e+02,2.389443969726562500e+02,4.587384624449634885e+01
2.283134329659598336e+02,2.307844314575195312e+02,4.552064081085062242e+01
2.214806060791015625e+02,2.239217300415039062e+02,4.515193611591404732e+01
2.155181710379464164e+02,2.177512130737304688e+02,4.475811795118813308e+01
2.102834647042410836e+02,2.121662445068359375e+02,4.433936527909890657e+01
2.053220868791852638e+02,2.070600128173828125e+02,4.389705399521785978e+01
2.009969569614955276e+02,2.026445388793945312e+02,4.344384344144030763e+01
1.970304391043526664e+02,1.987863922119140625e+02,4.298155608390722193e+01
1.932851279122488961e+02,1.951745223999023438e+02,4.249858080744743205e+01
1.899930637904575974e+02,1.917451705932617188e+02,4.199242229797758341e+01
1.868016488211495414e+02,1.886517028808593750e+02,4.147719819480756343e+01
1.838544987269810349e+02,1.854232254028320312e+02,4.091144578677842958e+01
1.811522500174386039e+02,1.827887954711914062e+02,4.037175802620028975e+01
1.786147875104631737e+02,1.802464828491210938e+02,3.980865972599136171e+01
1.763396366664341599e+02,1.779325103759765625e+02,3.924407081655995455e+01
1.740965140206473336e+02,1.757708511352539062e+02,3.867120760448996464e+01
1.719966735839843750e+02,1.735196456909179688e+02,3.804698687398173718e+01
1.700844726562500000e+02,1.714400787353515625e+02,3.741802545247419687e+01
1.682031489780970901e+02,1.697622985839843750e+02,3.683899174850677838e+01
1.664629734584263474e+02,1.679524154663085938e+02,3.620419254808039966e+01
1.648103572300502151e+02,1.662384490966796875e+02,3.556166464532275739e+01
1.632223205566406250e+02,1.646954574584960938e+02,3.493421303089534291e+01
1.617322823660714164e+02,1.631803894042968750e+02,3.428631545565210104e+01
1.602896139962332711e+02,1.616534957885742188e+02,3.360567676790778080e+01
1.589677559988839164e+02,1.603245239257812500e+02,3.296391862415450191e+01
1.576398141043526664e+02,1.590333328247070312e+02,3.231130088991093885e+01
1.563863024030412987e+02,1.577040481567382812e+02,3.161605607820819941e+01
1.552206420898437500e+02,1.564374694824218750e+02,3.091677047712409276e+01
1.540351235525948539e+02,1.553366546630859375e+02,3.026876311662412533e+01
1.529430476597377151e+02,1.542453994750976562e+02,2.960545611916301567e+01
1.518845759800502151e+02,1.531122894287109375e+02,2.889777151119671927e+01
1.508296813964843750e+02,1.519868469238281250e+02,2.816989682144093621e+01
1.498519679478236526e+02,1.510770034790039062e+02,2.754556864618883694e+01
1.488419886997767776e+02,1.501037139892578125e+02,2.686615505459895559e+01
1.478850729806082711e+02,1.490556182861328125e+02,2.611771957692327462e+01
1.469546486990792289e+02,1.481074829101562500e+02,2.541583803431638700e+01
1.460836508614676461e+02,1.472037048339843750e+02,2.473071267816508012e+01
1.452192230224609375e+02,1.462950363159179688e+02,2.402738854955661196e+01
